trial_id,start_time,stop_time,trial_length,initial_image,change_image,is_change,is_go,is_catch,change_time,response_time,reward_time,reward_volume,hit,miss,false_alarm,correct_rejection,aborted,auto_rewarded,response_lick,correct,outcome,reaction_time
131,635.33962,643.36303,8.023410000000013,im087_r,im083_r,1,1,0,639.09304,639.46041,639.46041,0.003,1,0,0,0,0,0,1,1,hit,0.3673700000000508
132,643.59541,645.64807,2.052659999999946,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
133,645.84842,646.96605,1.1176299999999628,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
134,647.34958,649.36789,2.0183100000000422,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
135,649.60135,650.63592,1.0345700000000306,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
136,651.10283,652.12049,1.017659999999978,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
137,652.60397,653.53846,0.9344899999999825,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
138,654.10374,655.67335,1.5696100000000115,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
139,656.35734,656.85757,0.5002299999999877,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
140,657.10778,658.17541,1.0676300000000083,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
141,658.60895,658.95922,0.3502699999999095,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
142,659.36246,660.2437,0.8812399999999343,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
143,660.861,662.59586,1.734860000000026,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
144,663.11123,664.44739,1.3361600000000635,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
145,664.61388,665.44821,0.8343300000000227,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
146,666.11549,666.7156,0.6001099999999724,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
147,666.8659,667.49974,0.6338399999999638,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
148,667.61643,668.53396,0.9175299999999424,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
149,669.11782,669.91846,0.8006399999999303,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
150,670.61789,670.98623,0.36833999999998923,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
151,671.37012,672.62082,1.250699999999938,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
152,672.87125,673.97186,1.1006099999999606,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
153,674.37228,679.09317,4.72088999999994,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
154,679.62682,684.33094,4.704120000000103,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
155,684.88104,689.58515,4.704110000000014,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
156,690.13427,690.53574,0.40147000000001754,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
157,690.88592,692.53734,1.6514199999999164,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
158,693.13788,701.91208,8.77419999999995,im083_r,im114_r,1,1,0,697.64208,698.09277,698.09277,0.003,1,0,0,0,0,0,1,1,hit,0.4506900000000087
159,702.1439,704.54745,2.4035499999999956,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
160,705.14798,708.48407,3.336090000000013,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
161,708.90105,715.12297,6.221919999999955,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
162,715.65687,720.24399,4.587120000000027,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
163,720.91129,723.34671,2.435420000000022,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
164,723.91384,726.16537,2.2515300000000025,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
165,726.18088,733.45501,7.274130000000014,im114_r,im104_r,1,1,0,729.18513,729.61893,729.61893,0.003,1,0,0,0,0,0,1,1,hit,0.4338000000000193
166,733.68707,735.87357,2.1865000000000236,im104_r,im104_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
167,735.94002,736.87442,0.9343999999999824,im104_r,im104_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
168,737.44161,738.10879,0.6671800000000303,im104_r,im104_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
169,738.19197,745.44838,7.2564100000000735,im104_r,im034_r,1,1,0,741.19534,741.56242,741.56242,0.003,1,0,0,0,0,0,1,1,hit,0.3670799999999872
170,745.69691,746.46604,0.7691300000000183,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
171,747.19974,749.61839,2.418649999999957,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
172,750.20259,752.47105,2.2684600000000046,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
173,753.20477,755.62344,2.4186699999999064,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
174,756.20718,759.99376,3.786579999999958,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
175,760.71092,764.49784,3.786920000000009,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
176,765.21337,768.88443,3.6710599999998976,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
177,768.96799,770.96943,2.0014400000000023,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
178,771.21974,772.25395,1.03421000000003,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
179,772.72126,780.7279,8.006639999999948,im034_r,im104_r,1,1,0,776.47549,776.84158,776.84158,0.003,1,0,0,0,0,0,1,1,hit,0.3660899999999856
180,780.97649,783.66387,2.687379999999962,im104_r,im104_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
181,783.98044,791.25333,7.272889999999961,im104_r,im114_r,1,1,0,786.98329,787.41713,787.41713,0.003,1,0,0,0,0,0,1,1,hit,0.433840000000032
182,791.48544,794.73955,3.2541099999999687,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
183,795.23995,802.51266,7.272709999999961,im114_r,im005_r,1,1,0,798.24299,798.57648,798.57648,0.003,1,0,0,0,0,0,1,1,hit,0.3334899999999834
184,802.74469,810.76958,8.024890000000028,im005_r,im034_r,1,1,0,806.50003,806.85036,806.85036,0.003,1,0,0,0,0,0,1,1,hit,0.3503299999999854
185,811.00154,813.25659,2.255049999999983,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
186,813.25659,816.47429,3.217700000000036,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
187,817.00803,819.89363,2.8856000000000677,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
188,820.01051,828.03401,8.023500000000013,im034_r,im024_r,1,1,0,823.764,824.14779,824.14779,0.003,1,0,0,0,0,0,1,1,hit,0.3837899999999763
189,828.26589,830.66969,2.403799999999933,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
190,831.27013,838.54274,7.272609999999986,im024_r,im083_r,1,1,0,834.27266,834.65664,834.65664,0.003,1,0,0,0,0,0,1,1,hit,0.38398000000006505
191,838.77484,840.29405,1.51920999999993,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
192,841.02834,842.3794,1.351060000000075,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
193,842.5293,846.46606,3.9367599999999356,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
194,847.0334,850.55273,3.519329999999968,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
195,850.78636,861.09499,10.308630000000107,im083_r,im024_r,1,1,0,856.80822,857.30908,857.30908,0.003,1,0,0,0,0,0,1,1,hit,0.5008599999999888
